Vehiculeid,plate,brand,Mobile,year,userid,typeserviceid
1,GYC,BMW,8989145971,2010,1,1
2,GAB^H,GMC,5144463283,2002,2,2
3,SPLS,Ford,6693305998,1996,3,3
4,FYC,Bentley,5836031194,2006,4,4
5,GPAC,Chevrolet,6246766282,2009,5,5
6,ITG,Suzuki,4917140533,2009,6,6
7,QCP,Porsche,6115438338,2010,7,7
8,Q,Audi,3803129039,1998,8,8
9,HNRG,Chevrolet,3153177079,2005,9,9
10,AFSS,Saturn,7732766348,2006,10,10
11,BXC,BMW,4386118001,1998,11,11
12,SBCP,Land Rover,2233234596,2012,12,12
13,HOME,Chevrolet,3722494757,1997,13,13
14,MSGN,Acura,7054191259,2006,14,14
15,WHLRW,Dodge,5023206824,1993,15,15
16,BGR,Ford,5451687170,2008,16,16
17,VRAY,Nissan,2456408709,1994,17,17
18,EAE,Ford,3849946722,1995,18,18
19,TMK^B,Ford,5166605389,1997,19,19
20,SHBI,Mercury,7825647707,1990,20,20
21,FOXA,Mercedes-Benz,1695673068,1996,21,21
22,MNST,Honda,1218474805,2008,22,22
23,CJJD,GMC,1438371644,2010,23,23
24,AFG,Pontiac,5092147957,1994,24,24
25,TROW,Honda,8748494481,1993,25,25
26,WMC,Volkswagen,9512192147,2006,26,26
27,SAN^C,Mercedes-Benz,1048872169,2011,27,27
28,GOL,Toyota,7214339239,2007,28,28
29,PETS,GMC,5392941557,1997,29,29
30,IMKTA,Mazda,1293333654,2005,30,30
31,HRZN,Chevrolet,1237592638,2005,31,31
32,WOR,Honda,7919585926,1984,32,32
33,TSLF,Volvo,3768738585,1996,33,33
34,RGCO,Chevrolet,3638891218,2000,34,34
35,ALCO,Nissan,3734782321,2011,35,35
36,JMP,Lincoln,5572200489,2008,36,36
37,DLBL,Pontiac,3545611571,1992,37,37
38,RMTI,Chevrolet,8643622329,2001,38,38
39,NEE,Lamborghini,7938866746,1994,39,39
40,CMA,Subaru,2737605268,1992,40,40
41,EEQ,GMC,6758632002,1995,41,41
42,MINDP,Chevrolet,3524792511,1992,42,42
43,LSXMA,BMW,8167369663,1996,43,43
44,WVVIP,Mazda,4124556743,2006,44,44
45,BRC,Porsche,2759028947,2011,45,45
46,HIX,Audi,5286744118,2009,46,46
47,TCF^C,Land Rover,3251496919,1994,47,47
48,BRKR,Land Rover,6091190993,2003,48,48
49,CAR,Pontiac,9071669406,1968,49,49
50,ORLY,Ferrari,7714114170,2010,50,50
51,MCEP,GMC,5288847686,2003,51,51
52,APB,Mercedes-Benz,2138948465,2012,52,52
53,CSBR,Lexus,5064036274,1998,53,53
54,OXLC,Jeep,5178570361,2002,54,54
55,PAACW,Plymouth,6135157997,2000,55,55
56,AVB,Infiniti,4175762881,2009,56,56
57,ADTN,Hyundai,8361863561,2012,57,57
58,AXTA,Land Rover,3671801382,1997,58,58
59,WSCI,Lexus,6065618067,2007,59,59
60,FPF,Bentley,6488219243,2009,60,60
61,VALX,GMC,4972043046,2005,61,61
62,KORS,Mercedes-Benz,5299576892,2005,62,62
63,INVA,GMC,5565926789,1999,63,63
64,WINS,Buick,5463531040,2007,64,64
65,OIA,Toyota,6355851842,2005,65,65
66,APDNW,Subaru,8849938331,1985,66,66
67,JKHY,Audi,6937524723,2012,67,67
68,APWC,Mazda,3116580968,2004,68,68
69,ISRL,Chevrolet,8347589659,2010,69,69
70,ESG,Acura,3564305773,1993,70,70
71,LUK,Porsche,5594549003,2006,71,71
72,AUY,Oldsmobile,1933389614,1999,72,72
73,MTLS,Subaru,7622248058,1991,73,73
74,GAINN,Mercury,4754680489,2000,74,74
75,ELTK,Lexus,4094731179,2003,75,75
76,HOVNP,Saturn,1811809796,2005,76,76
77,HUNTW,Maserati,5858843899,2004,77,77
78,IGF,Cadillac,3155486174,2012,78,78
79,CTMX,BMW,4297717387,1998,79,79
80,MAR,Mazda,9037550257,2005,80,80
81,SCKT,Nissan,1705927921,2006,81,81
82,ATLC,Toyota,2633947221,2000,82,82
83,PMPT,MINI,7913242418,2002,83,83
84,LINDW,Suzuki,6946723107,2004,84,84
85,RTK,Mitsubishi,4068427564,2011,85,85
86,BPI,Ferrari,8274185881,2012,86,86
87,MAT,GMC,8897084834,2001,87,87
88,KCAP,Jeep,1233229136,2000,88,88
89,SGMS,Suzuki,3354671015,1993,89,89
90,ETY,Dodge,8545824511,2011,90,90
91,CTV,Chevrolet,1309654917,2012,91,91
92,BMRN,Mazda,3237993684,1998,92,92
93,TICC,Ford,5172087441,2012,93,93
94,MFM,Infiniti,6828374357,2005,94,94
95,CBX,Hyundai,5216734654,2004,95,95
96,MRVC,GMC,2512883283,1999,96,96
97,MBFI,Ford,5616401316,1985,97,97
98,BPFH,Honda,5282615910,2006,98,98
99,HCN^I,Mazda,6558951271,2006,99,99
100,OVAS,Oldsmobile,9179514920,2001,100,100
